@empty_phone|empty_phone|neutral|cooperative
Dokument bei anderer Person|Die Karte soll jemand aus meiner Reisegruppe haben.|Die Person sitzt gerade in einem anderen Wagen.|Ich müsste erst fragen, welches Dokument dort vorliegt.|Dann kläre ich das mit dem tatsächlich vorhandenen Nachweis.
Nur kurze Strecke|Ich fahre doch nur bis zum nächsten Halt.|Darum dachte ich, das ließe sich schnell erledigen.|Ändert die kurze Strecke etwas an dem, was geprüft wird?|Gut, die zurückgelegte Strecke ersetzt also keinen Nachweis.
Zeitdruck als Begründung|Ich musste in letzter Sekunde einsteigen.|Sonst hätte ich lange auf die nächste Verbindung warten müssen.|Ich kann Ihnen aber noch zeigen, was ich vor der Fahrt versucht habe.|Danke, wir unterscheiden den Zeitdruck von den belegbaren Umständen.
Vergleich mit anderen|Andere Fahrgäste wurden eben auch nicht gefragt.|Deshalb verstehe ich nicht, warum ich jetzt suchen soll.|Ich möchte wissen, welcher Nachweis konkret gebraucht wird.|Gut, ich beschränke mich auf meine eigene Kontrolle.
Versprochene Nachsendung|Mir wurde gesagt, die Unterlage werde gleich geschickt.|Sie ist bisher noch nicht eingetroffen.|Ich kann im Moment nur auf die Nachricht warten.|Ich habe verstanden, dass die angekündigte Nachricht noch keine Fahrkarte ist.
Behauptete mündliche Zusage|Jemand hat mir gesagt, das sei schon in Ordnung.|Einen schriftlichen Beleg dafür habe ich nicht.|Ich kann nur schildern, wie ich die Aussage verstanden habe.|Gut, wir prüfen die vorhandenen Fakten unabhängig von meiner Schilderung.
Unterlage angeblich im Koffer|Die Fahrkarte müsste ganz unten im Koffer liegen.|Ich habe sie vor dem Einsteigen nicht herausgenommen.|Ich müsste das Gepäck dafür erst sicher abstellen.|Dann suche ich den Nachweis, ohne den Gang zu versperren.
Zahlung angeblich unterwegs|Die Zahlung soll von einem anderen Gerät aus erfolgt sein.|Die Bestätigung habe ich selbst noch nicht gesehen.|Ich kann nachfragen, ob eine Fahrkarte ausgestellt wurde.|Gut, wir unterscheiden die behauptete Zahlung vom tatsächlichen Dokument.
Frühere Nutzung als Argument|Mit derselben Unterlage bin ich schon einmal gefahren.|Damals gab es dazu keine Rückfrage.|Ich weiß aber nicht, ob die Bedingungen diesmal identisch sind.|Dann prüfen wir diese Fahrt mit ihren konkreten Angaben.
Anzeige angeblich verschwunden|Die Fahrkarte war eben noch in der Übersicht.|Jetzt finde ich nur die anderen Dokumente.|Ich möchte nicht sagen, wo sie geblieben ist, bevor ich gesucht habe.|Gut, ich suche nach einem tatsächlich vorzeigbaren Nachweis.
Verweis auf Gewohnheit|Ich fahre diese Strecke immer auf dieselbe Weise.|Über die einzelnen Bedingungen habe ich lange nicht nachgedacht.|Ich zeige Ihnen, welche Unterlage ich heute dabeihabe.|Danke, heute wird die vorhandene Berechtigung geprüft.
Späterer Kauf angekündigt|Ich wollte das nach dem nächsten Halt erledigen.|Ich dachte, vorher sei dafür noch etwas Zeit.|Was muss für den bereits gefahrenen Abschnitt geklärt werden?|Gut, ein angekündigter Kauf klärt den bisherigen Abschnitt noch nicht.
@lack_of_money|lack_of_money|neutral|cooperative
Zahlungskarte abgelehnt|Meine Zahlungskarte wurde beim Kauf abgelehnt.|Ich weiß noch nicht, woran das lag.|Ich kann schildern, welche Kaufmöglichkeit ich versucht habe.|Danke, wir prüfen die Umstände, ohne meine Kontodaten aufzunehmen.
Bargeld reicht nicht|Ich hatte weniger Bargeld dabei als angenommen.|Beim Nachzählen fehlte ein Teil des Betrags.|Ich möchte wissen, wie der Fall jetzt geklärt wird.|Gut, ich habe die Erläuterung zur weiteren Bearbeitung verstanden.
Geldbörse vergessen|Meine Geldbörse liegt offenbar noch zu Hause.|Ich habe das erst beim Bezahlen bemerkt.|Eine andere verfügbare Zahlungsmöglichkeit muss ich prüfen.|Danke, ich weiß jetzt, welche Nachweise für diese Kontrolle wichtig sind.
Nur großer Geldschein|Ich hatte nur einen großen Geldschein dabei.|Die versuchte Kaufmöglichkeit nahm ihn nicht an.|Ich kann den Ort und den Versuch genauer beschreiben.|Gut, wir klären die Erwerbsmöglichkeiten anhand belegbarer Angaben.
Kartenlimit erreicht|Bei der Zahlung erschien ein Hinweis zum Limit.|Ich möchte keine Kontoinformationen öffentlich besprechen.|Ich kann den Kaufversuch ohne diese Daten erläutern.|Danke, für die Klärung bleiben meine Bankdaten außen vor.
Keine sofortige Zahlung|Ich kann gerade keinen Betrag begleichen.|Das ist unabhängig davon, welches Dokument Sie prüfen.|Bitte erklären Sie mir die nächsten Schritte in Ruhe.|Gut, ich habe verstanden, dass eine Forderung und ihre Zahlung getrennte Schritte sind.
Geld auf anderem Konto|Auf der verwendeten Karte war offenbar nichts verfügbar.|Ich müsste zuerst eine andere Zahlungsmöglichkeit klären.|Meine übrigen Finanzdaten möchte ich hier nicht zeigen.|Danke, ich beschränke die Angaben auf den Kontrollfall.
Münzen verloren|Mir sind am Bahnsteig die Münzen aus der Tasche gefallen.|Einen Teil konnte ich nicht mehr wiederfinden.|Ich weiß, dass meine Schilderung noch keinen Kauf belegt.|Gut, wir halten uns an die tatsächlich nachweisbaren Umstände.
Geliehene Zahlungskarte|Ich hatte mich auf eine geliehene Karte verlassen.|Die vorgesehene Zahlung ließ sich damit nicht ausführen.|Ich möchte keine Daten der anderen Person nennen.|Danke, wir nehmen keine fremden Zahlungsdaten in das Gespräch auf.
Überweisung noch offen|Ich hatte mit einer Gutschrift vor der Fahrt gerechnet.|Sie war beim Kaufversuch noch nicht verfügbar.|Ich kann momentan nur den weiteren Ablauf klären.|Gut, ich kenne jetzt den Unterschied zwischen Feststellung und Begleichung.
Portemonnaie unterwegs verloren|Meine Geldbörse ist während der Reise verschwunden.|Ich habe die zuletzt benutzten Taschen bereits durchsucht.|Ich möchte die fehlenden Mittel und die Fahrkartenprüfung getrennt klären.|Danke, ich kümmere mich parallel um die verlorene Geldbörse.
Zahlverfahren nicht verfügbar|Die angebotenen Zahlverfahren konnte ich vor Ort nicht nutzen.|Ich kann erklären, welche Möglichkeiten angezeigt wurden.|Bitte prüfen Sie die tatsächliche Erwerbssituation.|Gut, allein meine fehlenden Mittel entscheiden die Ausnahmefrage nicht.
Ausgaben falsch geplant|Ich habe mein verfügbares Geld für den Tag falsch eingeschätzt.|Beim Kaufversuch reichte es nicht mehr aus.|Ich möchte die Situation ohne Ausflüchte klären.|Danke, der weitere Ablauf wurde mir verständlich erklärt.
@silence|silence|neutral|evasive
Abwartende Pause|Einen Moment bitte.|Ich muss erst überlegen, wo die Unterlage ist.|Bitte sagen Sie noch einmal, was Sie sehen möchten.|Danke, ich habe die konkrete Bitte jetzt verstanden.
Blick aus dem Fenster|Ich habe Ihre Frage eben nicht beantwortet.|Ich wollte das Gespräch zunächst nicht beginnen.|Sie können mir die benötigten Schritte kurz nennen.|Gut, ich weiß jetzt, worauf ich reagieren soll.
Kopfhörer abgenommen|Jetzt kann ich Sie hören.|Mit den Kopfhörern habe ich die Ansprache verpasst.|Bitte wiederholen Sie die Bitte um den Nachweis.|Danke, das Gespräch ist jetzt bei mir angekommen.
Gedanken unterbrechen|Ich war gerade völlig in Gedanken.|Deshalb kam von mir erst keine Antwort.|Ich bin jetzt bereit, die konkrete Frage anzuhören.|Gut, ich konzentriere mich nun auf die Kontrolle.
Langsame Suche|Ich brauche etwas Zeit, um mich zu sortieren.|Ich möchte während der Suche nicht ständig antworten.|Ich sage Bescheid, wenn ich den Nachweis gefunden habe.|Danke, ich habe trotz der Pause den Ablauf verstanden.
Schriftliche Hinweise gewünscht|Ich würde die Hinweise gern mitlesen.|Gesprochenes möchte ich nicht unter Zeitdruck beantworten.|Bitte lassen Sie die aktuelle Frage kurz stehen.|Gut, ich konnte die nächsten Schritte in Ruhe lesen.
Unsicherheit vor Antwort|Ich will nichts Falsches sagen.|Darum habe ich erst einmal geschwiegen.|Bitte stellen Sie die Frage zum Dokument möglichst konkret.|Danke, ich beantworte die Prüfung Schritt für Schritt.
Keine Erklärung zur Reise|Über den Anlass meiner Reise möchte ich nichts erzählen.|Die Fahrkartenfrage habe ich damit nicht beantwortet.|Bitte bleiben wir beim erforderlichen Nachweis.|Gut, persönliche Reisegründe sind für dieses Gespräch nicht nötig.
Unterbrochenes Lesen|Ich war noch mit dem Lesen beschäftigt.|Ich habe die erste Frage deshalb offen gelassen.|Jetzt können wir über die Fahrkarte sprechen.|Danke, ich widme mich nun dem benötigten Dokument.
Kurze Antworten|Ich möchte mich möglichst kurz fassen.|Eine lange Erklärung kann ich gerade nicht geben.|Stellen Sie bitte eine Frage nach der anderen.|Gut, die kurzen Schritte sind für mich nachvollziehbar.
Ruhiger Gesprächsort|Ich möchte nicht durch den ganzen Wagen antworten.|Deshalb habe ich auf die erste Ansprache nicht reagiert.|Können wir in normaler Lautstärke bei der Sache bleiben?|Danke, so kann ich die Kontrolle ruhig mitverfolgen.
Bewusste Denkpause|Ich brauche vor der Antwort einen Moment.|Das Schweigen sollte noch keine Erklärung sein.|Ich höre Ihnen zu, wenn Sie den nächsten Schritt nennen.|Gut, ich habe die Frage nach der Pause verstanden.
Zunächst keine Reaktion|Ich habe zunächst nicht reagiert.|Ich möchte erst wissen, worum genau es jetzt geht.|Bitte nennen Sie den benötigten Fahrkartennachweis.|Danke, jetzt ist die konkrete Anforderung deutlich.
@hostile_reaction|hostile_reaction|unfriendly|evasive
Wiederholte Kontrolle ärgert|Schon wieder eine Kontrolle? Das nervt mich.|Ich musste die Unterlagen vorhin erst wegpacken.|Sagen Sie mir wenigstens genau, was Sie brauchen.|Gut, ich kenne jetzt den nächsten sachlichen Schritt.
Unterbrochene Arbeit|Sie unterbrechen mich mitten in meiner Arbeit.|Ich möchte diese Sache möglichst schnell hinter mich bringen.|Bitte bleiben Sie bei einer kurzen konkreten Bitte.|Dann erledigen wir die Kontrolle mit den nötigen Unterlagen.
Ärger über Verspätung|Nach der Verspätung fehlt mir für diese Diskussion die Geduld.|Ich vermische gerade wohl zwei verschiedene Probleme.|Sagen Sie, was für die Fahrkartenprüfung nötig ist.|Gut, den Ärger über die Fahrt kläre ich an anderer Stelle.
Genervtes Suchen|Ich habe keine Lust, meine Tasche noch einmal auszuräumen.|Die Unterlage steckt irgendwo zwischen den anderen Sachen.|Ich suche, aber bitte drängen Sie mich nicht dauernd.|Dann stelle ich die nötigen Sachen zusammen, ohne den Gang zu blockieren.
Scharfer Ton beim Einstieg|Muss das ausgerechnet jetzt sein?|Ich wollte gerade zur Ruhe kommen.|Ich höre mir den Ablauf an, wenn wir sachlich bleiben.|Gut, ich weiß, welche Frage jetzt beantwortet werden muss.
Misstrauen gegen Prüfung|Ich finde diese erneute Prüfung übertrieben.|Ich möchte wissen, was an meinem Dokument geprüft wird.|Erklären Sie bitte kurz den nächsten Schritt.|Danke, die konkrete Prüfung ist jetzt verständlicher.
Streit über Wartezeit|Für so etwas habe ich heute wirklich keine Zeit.|Ich muss mich nach dem Aussteigen beeilen.|Was lässt sich hier sachlich zuerst klären?|Gut, wir beginnen mit dem tatsächlich vorliegenden Nachweis.
